layer_i,layer_j,meanK
0,0,1.0
0,1,0.6500000000000001
0,2,0.42249999999999976
0,3,0.2746250000000003
0,4,0.17850625000000064
0,5,0.1160290625000002
0,6,0.07541889062500039
0,7,0.04902227890625
0,8,0.0318644812890625
0,9,0.020711912837890034
0,10,0.01346274334462903
0,11,0.008750783174008674
0,12,0.005688009063105563
0,13,0.003697205891018739
0,14,0.0024031838291621037
0,15,0.0015620694889553737
0,16,0.0010153451678210645
0,17,0.0006599743590836612
0,18,0.00042898333340435796
0,19,0.00027883916671286017
0,20,0.0001812454583633652
0,21,0.00011780954793616815
0,22,7.657620615851683e-05
0,23,4.97745340030335e-05
0,24,3.235344710197723e-05
0,25,2.1029740616280087e-05
0,26,1.3669331400582236e-05
0,27,8.885065410379989e-06
0,28,5.775292516746469e-06
0,29,3.753940135885372e-06
0,30,2.440061088324985e-06
0,31,1.586039707411972e-06
0,32,1.0309258098172312e-06
0,33,6.701017763814205e-07
0,34,4.355661546477166e-07
0,35,2.8311800052105947e-07
0,36,1.8402670033876438e-07
0,37,1.196173552201515e-07
0,38,7.775128089314978e-08
0,39,5.053833258049217e-08
0,40,3.2849916177330655e-08
0,41,2.1352445515269416e-08
0,42,1.3879089584918661e-08
0,43,9.02140823020236e-09
0,44,5.863915349630382e-09
0,45,3.811544977262344e-09
0,46,2.4775042352158566e-09
0,47,1.6103777528911049e-09
0,48,1.0467455393805223e-09
0,49,6.803846005969503e-10
0,50,4.4224999038836166e-10
1,0,0.6500000000000001
1,1,1.4225000000000003
1,2,0.9246249999999995
1,3,0.6010062499999997
1,4,0.3906540625000008
1,5,0.2539251406249997
1,6,0.16505134140625002
1,7,0.10728337191406379
1,8,0.06973419174414064
1,9,0.04532722463369103
1,10,0.029462696011898833
1,11,0.019150752407734672
1,12,0.01244798906502726
1,13,0.0080911928922677
1,14,0.005259275379974107
1,15,0.0034185289969830717
1,16,0.002222043848039101
1,17,0.0014443285012254567
1,18,0.0009388135257965089
1,19,0.0006102287917677167
1,20,0.0003966487146490408
1,21,0.0002578216645218776
1,22,0.00016758408193920385
1,23,0.00010892965326048977
1,24,7.080427461931665e-05
1,25,4.6022778502559476e-05
1,26,2.991480602665749e-05
1,27,1.944462391732916e-05
1,28,1.2639005546265702e-05
1,29,8.21535360507196e-06
1,30,5.33997984329685e-06
1,31,3.4709868981427467e-06
1,32,2.256141483793203e-06
1,33,1.4664919644651142e-06
1,34,9.532197769024844e-07
1,35,6.195928549863846e-07
1,36,4.027353557412547e-07
1,37,2.617779812318491e-07
1,38,1.701556878006982e-07
1,39,1.1060119707047445e-07
1,40,7.189077809575535e-08
1,41,4.672900576226548e-08
1,42,3.037385374546654e-08
1,43,1.974300493455472e-08
1,44,1.2832953207462109e-08
1,45,8.341419584853228e-09
1,46,5.421922730152692e-09
1,47,3.524249774594787e-09
1,48,2.290762353488062e-09
1,49,1.4889955297685423e-09
1,50,9.678470943492375e-10
2,0,0.42249999999999976
2,1,0.9246249999999995
2,2,1.6010062499999993
2,3,1.040654062499999
2,4,0.6764251406249998
2,5,0.43967634140625
2,6,0.28578962191406126
2,7,0.18576325424414158
2,8,0.12074611525869273
2,9,0.07848497491814915
2,10,0.051015233696796725
2,11,0.03315990190291742
2,12,0.021553936236896745
2,13,0.014010058553982617
2,14,0.009106538060088645
2,15,0.005919249739057735
2,16,0.0038475123303874704
2,17,0.0025008830147519876
2,18,0.0016255739595888187
2,19,0.0010566230737327053
2,20,0.0006868049979262335
2,21,0.0004464232486520675
2,22,0.00029017511162385354
2,23,0.00018861382255548593
2,24,0.00012259898466107484
2,25,7.96893400296932e-05
2,26,5.179807101930459e-05
2,27,3.366874616254202e-05
2,28,2.1884685005655286e-05
2,29,1.422504525367773e-05
2,30,9.246279414889418e-06
2,31,6.010081619678608e-06
2,32,3.906553052790792e-06
2,33,2.539259484314354e-06
2,34,1.6505186648037685e-06
2,35,1.0728371321226624e-06
2,36,6.973441358794922e-07
2,37,4.53273688321758e-07
2,38,2.9462789740917396e-07
2,39,1.9150813331595849e-07
2,40,1.2448028665539978e-07
2,41,8.091218632596136e-08
2,42,5.259292111190242e-08
2,43,3.4185398722729955e-08
2,44,2.222050916977766e-08
2,45,1.4443330960356954e-08
2,46,9.388165124234063e-09
2,47,6.102307330749032e-09
2,48,3.9664997649825465e-09
2,49,2.5782248472399255e-09
2,50,1.6758461507075301e-09
3,0,0.2746250000000003
3,1,0.6010062499999997
3,2,1.040654062499999
3,3,1.6764251406249986
3,4,1.0896763414062511
3,5,0.7082896219140625
3,6,0.46038825424413615
3,7,0.29925236525869037
3,8,0.19451403741814946
3,9,0.12643412432179835
3,10,0.08218218080916785
3,11,0.053418417525958814
3,12,0.0347219713918727
3,13,0.022569281404717728
3,14,0.014670032913066207
3,15,0.009535521393492964
3,16,0.006198088905770593
3,17,0.004028757788750825
3,18,0.002618692562688202
3,19,0.0017021501657473567
3,20,0.0011063976077357535
3,21,0.0007191584450282005
3,22,0.00046745298926834626
3,23,0.00030384444302443945
3,24,0.000197498887965866
3,25,0.00012837427717782055
3,26,8.344328016557582e-05
3,27,5.423813210762719e-05
3,28,3.525478586995313e-05
3,29,2.291561081547426e-05
3,30,1.4895147030059498e-05
3,31,9.681845569537562e-06
3,32,6.293199620200034e-06
3,33,4.090579753129814e-06
3,34,2.6588768395345036e-06
3,35,1.7282699456968502e-06
3,36,1.1233754647032218e-06
3,37,7.301940520568022e-07
3,38,4.7462613383701764e-07
3,39,3.085069869940655e-07
3,40,2.0052954154615945e-07
3,41,1.303442020050376e-07
3,42,8.472373130322391e-08
3,43,5.507042534713167e-08
3,44,3.579577647562486e-08
3,45,2.3267254709163046e-08
3,46,1.51237155609545e-08
3,47,9.830415114623603e-09
3,48,6.389769824501111e-09
3,49,4.15335038592102e-09
3,50,2.699677750849952e-09
4,0,0.17850625000000064
4,1,0.3906540625000008
4,2,0.6764251406249998
4,3,1.0896763414062511
4,4,1.7082896219140644
4,5,1.1103882542441452
4,6,0.7217523652586959
4,7,0.4691390374181481
4,8,0.3049403743217958
4,9,0.19821124330916748
4,10,0.1288373081509607
4,11,0.08374425029812328
4,12,0.0544337626937798
4,13,0.03538194575095633
4,14,0.022998264738121915
4,15,0.014948872079779008
4,16,0.00971676685185642
4,17,0.006315898453706781
4,18,0.004105333994909429
4,19,0.0026684670966912816
4,20,0.0017345036128493495
4,21,0.0011274273483520448
4,22,0.0007328277764287823
4,23,0.00047633805467872247
4,24,0.0003096197355411891
4,25,0.0002012528281017507
4,26,0.00013081433826614525
4,27,8.502931987298407e-05
4,28,5.526905791744235e-05
4,29,3.592488764633471e-05
4,30,2.335117697012349e-05
4,31,1.5178265030581189e-05
4,32,9.865872269876498e-06
4,33,6.4128169754205824e-06
4,34,4.168331034023165e-06
4,35,2.7094151721150332e-06
4,36,1.7611198618741855e-06
4,37,1.1447279102185108e-06
4,38,7.44073141641706e-07
4,39,4.836475420671965e-07
4,40,3.1437090234367125e-07
4,41,2.0434108652342426e-07
4,42,1.3282170624026194e-07
4,43,8.63341090561217e-08
4,44,5.6117170886520704e-08
4,45,3.6476161076225385e-08
4,46,2.370950469955487e-08
4,47,1.5411178054704156e-08
4,48,1.0017265735564209e-08
4,49,6.511222728111156e-09
4,50,4.232294773267325e-09
5,0,0.1160290625000002
5,1,0.2539251406249997
5,2,0.43967634140625
5,3,0.7082896219140625
5,4,1.1103882542441452
5,5,1.7217523652586966
5,6,1.1191390374181476
5,7,0.7274403743218073
5,8,0.4728362433091683
5,9,0.30734355815095765
5,10,0.19977331279812238
5,11,0.12985265331878185
5,12,0.08440422465720697
5,13,0.054862746027184175
5,14,0.035660784917669004
5,15,0.023179510196484943
5,16,0.01506668162771524
5,17,0.009793343058015066
5,18,0.006365672987709876
5,19,0.004137687442011488
5,20,0.002689496837307602
5,21,0.0017481729442499476
5,22,0.0011363124137624334
5,23,0.0007386030689455268
5,24,0.00048009199481460535
5,25,0.0003120597966295165
5,26,0.0002028388678091617
5,27,0.00013184526407596147
5,28,8.569942164936255e-05
5,29,5.570462407208847e-05
5,30,3.6208005646856006e-05
5,31,2.3535203670463555e-05
5,32,1.529788238580185e-05
5,33,9.943623550769859e-06
5,34,6.463355308001371e-06
5,35,4.201180950200738e-06
5,36,2.7307676176302204e-06
5,37,1.7749989514590964e-06
5,38,1.1537493184486435e-06
5,39,7.499370569913084e-07
5,40,4.874590870444392e-07
5,41,3.168484065788707e-07
5,42,2.059514642763591e-07
5,43,1.3386845177964882e-07
5,44,8.701449365672341e-08
5,45,5.6559420876917704e-08
5,46,3.676362356998008e-08
5,47,2.3896355320495253e-08
5,48,1.553263095831095e-08
5,49,1.009621012291233e-08
5,50,6.562536579886287e-09
6,0,0.07541889062500039
6,1,0.16505134140625002
6,2,0.28578962191406126
6,3,0.46038825424413615
6,4,0.7217523652586959
6,5,1.1191390374181476
6,6,1.7274403743217925
6,7,1.122836243309158
6,8,0.7298435581509686
6,9,0.4743983127981232
6,10,0.3083589033187773
6,11,0.20043328715720482
6,12,0.13028163665218587
6,13,0.08468306382391956
6,14,0.05504399148554725
6,15,0.035778594465604815
6,16,0.023256086402643147
6,17,0.015116456161718294
6,18,0.009825696505117157
6,19,0.006386702728326193
6,20,0.004151356773412135
6,21,0.0026983819027180046
6,22,0.0017539482367667026
6,23,0.001140066353898323
6,24,0.0007410431300338482
6,25,0.00048167803452201234
6,26,0.00031309072243933456
6,27,0.00020350896958554142
6,28,0.00013228083023060776
6,29,8.598253964988099e-05
6,30,5.588865077242538e-05
6,31,3.6327623002077864e-05
6,32,2.3612954951357784e-05
6,33,1.5348420718382807e-05
6,34,9.97647346694734e-06
6,35,6.484707753516295e-06
6,36,4.215060039785802e-06
6,37,2.7397890258601165e-06
6,38,1.780862866808652e-06
6,39,1.1575608634257617e-06
6,40,7.524145612265008e-07
6,41,4.890694647973162e-07
6,42,3.178951521182566e-07
6,43,2.0663184887699525e-07
6,44,1.3431070177004246e-07
6,45,8.730195615048011e-08
6,46,5.6746271497864103e-08
6,47,3.688507647359121e-08
6,48,2.39752997078424e-08
6,49,1.5583944810082996e-08
6,50,1.0129564126567573e-08
7,0,0.04902227890625
7,1,0.10728337191406379
7,2,0.18576325424414158
7,3,0.29925236525869037
7,4,0.4691390374181481
7,5,0.7274403743218073
7,6,1.122836243309158
7,7,1.7298435581509484
7,8,1.1243983127981114
7,9,0.730858903318789
7,10,0.4750582871572069
7,11,0.30878788665218065
7,12,0.20071212632391666
7,13,0.13046288211054904
7,14,0.0848008733718555
7,15,0.05512056769170549
7,16,0.035828368999607584
7,17,0.023288439849744855
7,18,0.015137485902334625
7,19,0.009839365836517858
7,20,0.00639558779373661
7,21,0.00415713206592894
7,22,0.0027021358428538757
7,23,0.0017563882978550369
7,24,0.0011416523936057395
7,25,0.000742074055843662
7,26,0.0004823481362983899
7,27,0.0003135262885939829
7,28,0.00020379208758606124
7,29,0.00013246485693094534
7,30,8.610215700509878e-05
7,31,5.596640205331795e-05
7,32,3.637816133466088e-05
7,33,2.364580486753618e-05
7,34,1.5369773163898445e-05
7,35,9.990352556532033e-06
7,36,6.493729161746146e-06
7,37,4.22092395513542e-06
7,38,2.743600570837065e-06
7,39,1.7833403710437547e-06
7,40,1.1591712411785273e-06
7,41,7.534613067658587e-07
7,42,4.897498493979157e-07
7,43,3.1833740210865106e-07
7,44,2.0691931137078313e-07
7,45,1.344975523909869e-07
7,46,8.742340905409421e-08
7,47,5.6825215885216795e-08
7,48,3.693639032536683e-08
7,49,2.4008653711496766e-08
7,50,1.560562491245509e-08
8,0,0.0318644812890625
8,1,0.06973419174414064
8,2,0.12074611525869273
8,3,0.19451403741814946
8,4,0.3049403743217958
8,5,0.4728362433091683
8,6,0.7298435581509686
8,7,1.1243983127981114
8,8,1.7308589033187693
8,9,1.125058287157195
8,10,0.7312878866521941
