success,finite_ok,epsilon_tilt,kappa,gamma,Delta,t_end_gyr,crossed_Sc,t_cross_s,t_cross_gyr,N_proxy,S_end,G_end,max_abs_constraint,min_rhs_E2,note
1,1,0.0,1.0,0.15,0.9,13.8,0,nan,nan,nan,0.005058701596765452,29.702378240177723,1.8189894035458565e-12,9999.313290628223,no_cross
1,1,0.0,3.0,0.15,0.9,13.8,0,nan,nan,nan,0.015262195718487867,29.70233949118437,1.8189894035458565e-12,9999.297481966154,no_cross
1,1,0.0,10.0,0.15,0.9,13.8,0,nan,nan,nan,0.05191370095524865,29.702199099853622,1.8189894035458565e-12,9999.239195543003,no_cross
1,1,0.0,30.0,0.15,0.9,13.8,0,nan,nan,nan,0.16568977092868928,29.70175130924583,1.8189894035458565e-12,9999.042375667403,no_cross
1,1,0.0,100.0,0.15,0.9,13.8,0,nan,nan,nan,0.73979825592174,29.69921931688815,1.8189894035458565e-12,9997.563411208861,no_cross
0,1,0.0,300.0,0.15,0.9,13.8,0,nan,nan,nan,0.7901227121824324,-34.74749093098408,nan,nan,solver_failed_or_nan
1,1,0.0,1000.0,0.15,0.9,13.8,0,nan,nan,nan,-1.6139948671822792e+30,4.0107207376966146e+34,1.8189894035458565e-12,9997.373366087744,no_cross
1,1,1e-06,1.0,0.15,0.9,13.8,0,nan,nan,nan,0.005058701597022783,29.7023782352384,1.8189894035458565e-12,9999.313289628222,no_cross
1,1,1e-06,3.0,0.15,0.9,13.8,0,nan,nan,nan,0.015262195719255384,29.702339486245044,1.8189894035458565e-12,9999.29748096615,no_cross
1,1,1e-06,10.0,0.15,0.9,13.8,0,nan,nan,nan,0.05191370095791328,29.702199094914235,1.8189894035458565e-12,9999.239194542997,no_cross
1,1,1e-06,30.0,0.15,0.9,13.8,0,nan,nan,nan,0.1656897709378244,29.70175130430644,1.8189894035458565e-12,9999.042374667386,no_cross
1,1,1e-06,100.0,0.15,0.9,13.8,0,nan,nan,nan,0.7397982559790479,29.69921931194839,1.8189894035458565e-12,9997.56341020866,no_cross
0,1,1e-06,300.0,0.15,0.9,13.8,0,nan,nan,nan,0.7901227122442179,-34.747490932700885,nan,nan,solver_failed_or_nan
1,1,1e-06,1000.0,0.15,0.9,13.8,0,nan,nan,nan,-3.187353624888671e+30,7.920462166048271e+34,1.8189894035458565e-12,9997.373365087511,no_cross
1,1,0.0001,1.0,0.15,0.9,13.8,0,nan,nan,nan,0.005058701622103889,29.702377746244295,1.8189894035458565e-12,9999.313190628187,no_cross
1,1,0.0001,3.0,0.15,0.9,13.8,0,nan,nan,nan,0.015262195795367807,29.702338997250536,1.8189894035458565e-12,9999.297381966038,no_cross
1,1,0.0001,10.0,0.15,0.9,13.8,0,nan,nan,nan,0.05191370122216249,29.702198605918316,1.8189894035458565e-12,9999.239095542573,no_cross
1,1,0.0001,30.0,0.15,0.9,13.8,0,nan,nan,nan,0.16568977183802855,29.701750815305658,1.8189894035458565e-12,9999.042275665734,no_cross
